ID,Book,Place Identified,Sentence,Place Check,Place Final,Coordinates Final
47,MVLL Cinco esquinas - FINAL,avenida Grau,"El auto no fue hacia el centro de Lima; dobló por la Plaza Italia, bajó por el jirón
Huanta hasta la avenida Grau y luego, ante su sorpresa, tomó la Panamericana,
rumbo a las playas.",Valid,Avenida Grau,"{-12.063777134062072, -77.1439741756062}"
48,MVLL Cinco esquinas - FINAL,avenida Tacna,"En la inauguración de esa boite que no duró mucho, El Pingüino, en un sótano de la avenida Tacna, a la que habían invitado a Rolando.",Valid,Avenida Tacna,"{-12.045327221091828, -77.03683459095086}"
49,MVLL Cinco esquinas - FINAL,Ayacucho,"Y todavía a eso del mediodía, cuando llegó Quique de Arequipa y le trajo
las consabidas pastitas de La Ibérica y la bolsa de rocotos, mientras lo besaba y le
preguntaba cómo le había ido en el directorio de la cervecería —«Bien, bien,
gringuita, hemos decidido dejar de mandar cervezas a Ayacucho, no sale a cuenta, los
cupos que nos piden los terroristas y los seudoterroristas nos están arruinando»—,
ella seguía preguntándose: «¿Y por qué Chabela no me hizo la menor alusión y se fue
como si no hubiera pasado nada?",Valid,Ayacucho,"{-13.17, -74.22}"
50,MVLL Cinco esquinas - FINAL,Barrios Altos,"En el hospicio en que su madre lo abandonó le pusieron
Lázaro como nombre de pila, porque, al parecer, fue en el día de San Lázaro cuando
las monjitas del convento de Las Descalzas lo encontraron en el suelo lloriqueando, a
la entrada de la institución que regentaban, en la esquina de los jirones Junín y
Huánuco, en los Barrios Altos de Lima.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
51,MVLL Cinco esquinas - FINAL,Barrios Altos,"Juan sólo lo había conocido por las historias y anécdotas de su padre,
quien, pese a no ser cantante ni tocar instrumento alguno, había frecuentado la
bohemia y las peñas criollas de los Barrios Altos.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
52,MVLL Cinco esquinas - FINAL,Barrios Altos,"Cuando Juan Peineta y Atanasia se casaron, fueron a depositar el ramito de
gardenias de la novia al pie de la estatua que inmortalizaba al bardo criollo frente a la
casita donde nació, en la cuadra 14 del jirón Junín, a pocos pasos de las Cinco
Esquinas, el ombligo de los Barrios Altos.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
53,MVLL Cinco esquinas - FINAL,Barrios Altos,"No era una larguísima caminata desde allí hasta
los Barrios Altos; subía por toda la avenida Abancay y, contorneando la Plaza de la
Inquisición y el Congreso de la República, remontaba el jirón Junín hasta cerca de
Cinco Esquinas.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
54,MVLL Cinco esquinas - FINAL,Barrios Altos,"Salía junto a él del Hotel Mogollón,
pero, cuando advertía que Juan tomaba el rumbo de los Barrios Altos, se desvanecía
silenciosamente.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
55,MVLL Cinco esquinas - FINAL,Barrios Altos,"Y ahora ese tipejo estaba muerto,
asesinado de esa manera atroz en los Barrios Altos.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
56,MVLL Cinco esquinas - FINAL,Barrios Altos,"—Me llamó para decirme que lo habían encontrado asesinado a cuchillazos y con
la cara destrozada en un muladar de Cinco Esquinas, allá en los Barrios Altos, en la
puerta de un garito de timberos —le explicó Luciano—.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
57,MVLL Cinco esquinas - FINAL,Barrios Altos,"Ni el que manejaba ni su compañero le dirigieron la
palabra durante el trayecto y a ella no dejó de llamarle la atención que conocieran
perfectamente el callejoncito agujereado de los Barrios Altos donde vivía.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
58,MVLL Cinco esquinas - FINAL,Barrios Altos,"Tardaba cerca de una hora en llegar hasta esa encrucijada laberíntica que era
Cinco Esquinas, en el corazón de los Barrios Altos.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
59,MVLL Cinco esquinas - FINAL,Barrios Altos,"Todavía quedaban huellas de la gran época de los Barrios Altos, la de La
Palizada, Felipe Pinglo y todos los grandes compositores y promotores de la música
criolla.",Valid,Barrios Altos,"{-12.050573610799256, -77.02849128883724}"
61,MVLL Cinco esquinas - FINAL,Breña,"Ella lo había acompañado mil veces de niña y
adolescente en sus recorridos jalando el carrito con los grandes tarros de emoliente
preparados por él mismo y Cojinova en la pequeña quinta donde vivían entonces, en
Breña, al final de la avenida Arica, allí donde terminaba la parte antigua de la ciudad
y empezaban los descampados que se alargaban hasta La Perla, Bellavista y el Callao.",Valid,Breña,"{-12.0592, -77.0506}"
74,MVLL Cinco esquinas - FINAL,Callao,"Ella lo había acompañado mil veces de niña y adolescente en sus recorridos jalando el carrito con los grandes tarros de emoliente preparados por él mismo y Cojinova en la pequeña quinta donde vivían entonces, en Breña, al final de la avenida Arica, allí donde terminaba la parte antigua de la ciudad y empezaban los descampados que se alargaban hasta La Perla, Bellavista y el Callao.",Valid,Callao,"{-12.051551957329314, -77.12532591358811}"
75,MVLL Cinco esquinas - FINAL,Callao,"Antes, cuando estaba en el Callao, ir a verlo era toda una aventura.",Valid,Callao,"{-12.051551957329314, -77.12532591358811}"
76,MVLL Cinco esquinas - FINAL,Callao,"Tenía que caminar hasta la Plaza San Martín, donde tomaba el microbús hacia el Callao.",Valid,Callao,"{-12.051551957329314, -77.12532591358811}"
77,MVLL Cinco esquinas - FINAL,Callao,"Antes, cuando vivía en el Callao, Willy tenía otro monumento cerquita de su casa: el de Sarita Colonia, la patrona de los ladrones.",Valid,Callao,"{-12.051551957329314, -77.12532591358811}"
78,MVLL Cinco esquinas - FINAL,Callao,"Durante mucho tiempo, cuatro o cinco veces al año, Juan hizo ese largo viaje desde el centro de Lima a esa barriada brava del puerto del Callao para pasar el día con su viejo amigo.",Valid,Callao,"{-12.051551957329314, -77.12532591358811}"
80,MVLL Cinco esquinas - FINAL,Callao,"—La trajeron esta madrugada del Callao, recién sacadita del mar.",Valid,Callao,"{-12.051551957329314, -77.12532591358811}"
81,MVLL Cinco esquinas - FINAL,calle Dante,"Desde su escritorio dominaba todo el cuartito
que era la redacción de la revista, una vieja casona de dos pisos en la calle Dante, de
Surquillo, y podía observar que la media docena de redactores e informantes tenían
todos las cabezas hundidas en sus computadoras o papeles; ninguno, ni siquiera
Estrellita Santibáñez, que era la más curiosa, se atrevía siquiera a volver los ojos para
espiar el mal rato que estaba haciendo pasar al fotógrafo.",Valid,Calle Dante,"{-12.11306237885034, -77.02335157560515}"
82,MVLL Cinco esquinas - FINAL,calle Dante,"Demoró tres cuartos de hora en llegar al paradero de la Panamericana, en
Surquillo, a pocas cuadras de la calle Dante.",Valid,Calle Dante,"{-12.11306237885034, -77.02335157560515}"
83,MVLL Cinco esquinas - FINAL,calle Dante,"La redacción en pleno de Destapes se trasladó a la comisaría de Surquillo, que
estaba a un paso del local de la revista, en la misma calle Dante.",Valid,Calle Dante,"{-12.11306237885034, -77.02335157560515}"
84,MVLL Cinco esquinas - FINAL,calle Irribarren,"A eso de las cinco de la tarde, la Retaquita y Ceferino fueron a tomar lonche a La
Delicia Criolla, donde la señora Mendieta, en la esquina de la calle Irribarren, no
lejos de la comisaría de Surquillo.",Valid,Calle Irribarren,"{-12.11408634013256, -77.0221474044412}"
88,MVLL Cinco esquinas - FINAL,Cantagallo,"Él y Willy eran amigos desde los tiempos en que Juan Peineta practicaba el noble
arte de la declamación y el Ruletero administraba un coliseo en el barrio de
Cantagallo, en el Rímac; allí solía contratarlo para que recitara sus poemas entre los
números de bailes y canciones andinas.",Valid,Cantagallo,"{-12.0425, -77.0158}"
89,MVLL Cinco esquinas - FINAL,Cantagallo,"Cuando yo tenía el coliseo, en
Cantagallo, Juanito venía a recitar sus poesías entre los números de música
folclórica.",Valid,Cantagallo,"{-12.0425, -77.0158}"
142,MVLL Cinco esquinas - FINAL,Carmen Alto,"Iba tres o cuatro veces por semana a almorzar al comedor popular que las
carmelitas descalzas tenían en su monasterio de Nuestra Señora del Carmen, en la
cuadra octava del jirón Junín, en Carmen Alto.",Valid / Corrected,Monasterio Nuestra Señora del Carmen,"{-12.051129971868495, -77.01931129743885}"
484,MVLL Cinco esquinas - FINAL,Chorrillos,"No pensaba mucho en esos orígenes misteriosos que eran los suyos, salvo en circunstancias excepcionales; por ejemplo, aquellos días en que en su casita de Chorrillos tenía que tomar las pastillas que lo sedaban y lo hacían dormir diez horas seguidas (se despertaba confuso y aturdido como un zombi).",Valid,Chorrillos,"{-12.185251431335764, -77.00779162464042}"
485,MVLL Cinco esquinas - FINAL,Chorrillos,"En cuanto a ella, se daría un salto a la dirección de la casita de su jefe que figuraba en la agenda, en Chorrillos.",Valid,Chorrillos,"{-12.185251431335764, -77.00779162464042}"
486,MVLL Cinco esquinas - FINAL,Chosica,"Y, sin embargo, las fotos estaban ahí, lo decían todo, parecían decir todavía mucho más de lo que había ocurrido aquella noche en Chosica y que ahora resucitaba cuando él creía haberse olvidado del yugoeslavo y de aquello hacía tiempo.",Valid,Chosica,"{-11.93, -76.71}"
487,MVLL Cinco esquinas - FINAL,Chosica,"Pero aquello había ocurrido hacía un par de años, tal vez un poquito más, allá en Chosica, cómo no lo iba a recordar.",Valid,Chosica,"{-11.93, -76.71}"
488,MVLL Cinco esquinas - FINAL,Chosica,En Chosica.,Valid,Chosica,"{-11.93, -76.71}"
489,MVLL Cinco esquinas - FINAL,Chosica,"¿Fue demasiado severo con ese pobre Ceferino Argüello, que, sin saberlo ni quererlo, le había prestado tan gran servicio al traerle aquellas fotos de Chosica?",Valid,Chosica,"{-11.93, -76.71}"
490,MVLL Cinco esquinas - FINAL,Chosica,"Por otra parte, el asunto de las fotos de Chosica mantenía a Ceferino atado a él.",Valid,Chosica,"{-11.93, -76.71}"
491,MVLL Cinco esquinas - FINAL,Chosica,Él había organizado la emboscada de Chosica.,Valid,Chosica,"{-11.93, -76.71}"
492,MVLL Cinco esquinas - FINAL,Chosica,Trata de recordar todos los detalles posibles de tu relación con el yugoeslavo que organizó lo de Chosica.,Valid,Chosica,"{-11.93, -76.71}"
493,MVLL Cinco esquinas - FINAL,Chosica,Ni siquiera conseguía recordar con precisión aquella fiesta maldita de Chosica.,Valid,Chosica,"{-11.93, -76.71}"
494,MVLL Cinco esquinas - FINAL,Chosica,¡Toda la revista consagrada a la tal orgía de Chosica!,Valid,Chosica,"{-11.93, -76.71}"
495,MVLL Cinco esquinas - FINAL,Chosica,"Las fotos de ese millonario en esa orgía terrible, en Chosica.",Valid,Chosica,"{-11.93, -76.71}"
496,MVLL Cinco esquinas - FINAL,Chosica,Ya sé que crees que la desaparición del jefe tiene que ver con tus fotos de la orgía de Chosica.,Valid,Chosica,"{-11.93, -76.71}"
497,MVLL Cinco esquinas - FINAL,Chosica,"A veces se despedía, pero como si una fuerza irresistible le impidiera partir, volvía a sentarse entre las pirámides de periódicos y revistas, se quejaba de nuevo de su mala suerte y maldecía las fotografías de Chosica, cuyos negativos había conservado, pero no para tratar de hacer dinero con ellos —¡lo juraba por Dios!— sino con la esperanza de que el señor que lo contrató para tomarlas reapareciera y le pagara lo pactado.",Valid,Chosica,"{-11.93, -76.71}"
498,MVLL Cinco esquinas - FINAL,Chosica,"Pensé que podía haberme equivocado cuando detuvieron al minero, ese Enrique Cárdenas, acusándolo de ser el autor intelectual del crimen, porque Garro lo chantajeaba con hacer conocer las fotos de la orgía de Chosica.",Valid,Chosica,"{-11.93, -76.71}"
499,MVLL Cinco esquinas - FINAL,Chosica,"Las del ingeniero Cárdenas, calato, refocilándose con prostitutas, en Chosica.",Valid,Chosica,"{-11.93, -76.71}"
500,MVLL Cinco esquinas - FINAL,Chosica,"Me llevó a la casa de Chosica, a prepararlo todo.",Valid,Chosica,"{-11.93, -76.71}"
501,MVLL Cinco esquinas - FINAL,Chosica,"—Y, entonces, tú y Ceferino fueron a llevarle las fotos y a contarle la historia de Chosica a Rolando Garro —se adelantó el Doctor, muy seguro de lo que afirmaba—.",Valid,Chosica,"{-11.93, -76.71}"
502,MVLL Cinco esquinas - FINAL,Chosica,"¿Quién habla ahora del escándalo, de las fotos de Chosica?",Valid,Chosica,"{-11.93, -76.71}"
503,MVLL Cinco esquinas - FINAL,Chosica,Maldita la hora en que aceptaste tomar las fotos de esa orgía de Chosica para ganarte unos pesos.,Valid,Chosica,"{-11.93, -76.71}"
504,MVLL Cinco esquinas - FINAL,Chosica,"Por Estrellita Santibáñez La historia del asesinato del periodista Rolando Garro, ordenada por el hombre fuerte del régimen del ingeniero Fujimori conocido como el Doctor, comienza hace dos años y pico, cuando un misterioso extranjero llamado Kosut (nombre sin duda falso), del que el Servicio de Inmigraciones no conserva datos de entrada ni salida del país, lo que podría indicar que se trata de un gánster miembro de una mafia internacional, contrata a nuestro compañero de trabajo en la redacción de Destapes, el apreciado fotógrafo Ceferino Argüello, para tomar fotos de una supuesta reunión social que tendría lugar en una casa de Chosica.",Valid,Chosica,"{-11.93, -76.71}"
505,MVLL Cinco esquinas - FINAL,Chosica,"Y sólo un mes y medio después decidió publicarlas y sacar ese número extraordinario de Destapes, «Las fotos de la orgía de Chosica», que tanto éxito tuvo.",Valid,Chosica,"{-11.93, -76.71}"
506,MVLL Cinco esquinas - FINAL,Chosica,"A que, cuando nuestro colega, el reportero gráfico Ceferino Argüello, me confesó (y mostró) las escandalosas fotografías de Chosica, yo le aconsejé naturalmente llevárselas a nuestro jefe y director, y explicarle toda la historia del fementido Kosut.",Valid,Chosica,"{-11.93, -76.71}"
507,MVLL Cinco esquinas - FINAL,Chosica,"Y, gracias a ello, descubrí lo que sé y que ahora sabe todo el Perú, gracias al valeroso apoyo que me han dado todos los redactores de este semanario y la denuncia que hemos hecho ante la Justicia: que fue el Doctor quien mandó asesinar a Rolando Garro por haberle desobedecido, publicando las fotos de la orgía de Chosica.",Valid,Chosica,"{-11.93, -76.71}"
508,MVLL Cinco esquinas - FINAL,Chosica,"(Véase asimismo, en las páginas centrales, un resumen del «Escándalo de las fotos de la orgía de Chosica» y la triste historia del reputado vate y recitador Juan Peineta, a quien los autores del crimen de Rolando Garro obligaron a declararse culpable, y luego enviaron a un asilo de ancianos donde todo este
tiempo ha podido vivir sin siquiera darse cuenta, por su demencia senil, del drama del que ha sido víctima inocente e inconsciente.",Valid,Chosica,"{-11.93, -76.71}"
509,MVLL Cinco esquinas - FINAL,Chosica,"—Yo no estuve nunca en una partouze, como esa de Chosica —le contestó ella al oído—.",Valid,Chosica,"{-11.93, -76.71}"
510,MVLL Cinco esquinas - FINAL,Chosica,"—Te he pedido tanto que no hables más de la historia de Chosica —Quique, con la voz cambiada, se apartó de su mujer y se volvió a echar de espaldas—.",Valid,Chosica,"{-11.93, -76.71}"
511,MVLL Cinco esquinas - FINAL,Chosica,"Ya ves, estaba excitado, te iba a hacer el amor y con esa broma sobre Chosica me dejaste congelado como un témpano.",Valid,Chosica,"{-11.93, -76.71}"
512,MVLL Cinco esquinas - FINAL,Chosica,—No quieres que te recuerde ni en broma la historia de Chosica y todas las noches ves el programa tan ridículo de esa mujerzuela.,Valid,Chosica,"{-11.93, -76.71}"
515,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Se ha hecho dos abortos con una
comadrona muy popular, una negra de Cinco Esquinas que conozco.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
516,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"La Retaquita
Apenas sintió que el individuo que iba detrás de ella en el ómnibus de Surquillo a
Cinco Esquinas se le pegaba con malas intenciones, la Retaquita sacó la gran aguja
que llevaba prendida en el cinturón.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
517,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Hasta que el ómnibus llegó a Cinco Esquinas, volvió a pensar en lo que estaba
pensando antes de notar que se le pegaba este sujeto por la espalda: ¿habían
desaparecido los emolienteros?",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
518,MVLL Cinco esquinas - FINAL,Cinco Esquinas,Estaban ya en Cinco Esquinas y la Retaquita se bajó del ómnibus.,Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
519,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"No era una larguísima caminata desde allí hasta
los Barrios Altos; subía por toda la avenida Abancay y, contorneando la Plaza de la
Inquisición y el Congreso de la República, remontaba el jirón Junín hasta cerca de
Cinco Esquinas.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
520,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Una ausencia
La Retaquita se preparaba siempre el desayuno frugal de cada día —un café con
leche y una galleta de maicena—, pero hoy, no sabía por qué, tuvo el impulso de
tomarlo en un cafetín de Cinco Esquinas situado frente al paradero del ómnibus que,
cada mañana, luego de media hora o cuarenta y cinco minutos de zangoloteo y
apretones, la llevaba por la larguísima avenida Grau, el Zanjón y la Panamericana
hasta Surquillo, en las vecindades de Destapes.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
521,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Cuando llegó a su casa, en
Cinco Esquinas, una hora después, en vez de prepararse algo de comer se echó en la
cama.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
522,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Se alejó de él y, recordando que no había comido nada en todo el día, al llegar a
Cinco Esquinas se sentó en el mismo mugriento cafetín donde había desayunado esa
mañana.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
523,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Acaban de
encontrar su cadáver tirado en la calle, por Cinco Esquinas.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
524,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"—Me llamó para decirme que lo habían encontrado asesinado a cuchillazos y con
la cara destrozada en un muladar de Cinco Esquinas, allá en los Barrios Altos, en la
puerta de un garito de timberos —le explicó Luciano—.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
525,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"La Retaquita tiene miedo
¿No la había llamado «Julieta Leguizamón» el capitán Félix Madueño, ese que
vino a buscarla a Cinco Esquinas y la llevó a la morgue en el patrullero?",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
526,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Su vida había estado
día y noche en la cuerda floja: ¿no vivía en Cinco Esquinas, uno de los barrios más
violentos de Lima, con asaltos, peleas y palizas por doquier?",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
527,MVLL Cinco esquinas - FINAL,Cinco Esquinas,El policía dijo que lo habían encontrado en Cinco Esquinas.,Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
528,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"—Lo encontraron por aquí, en Cinco Esquinas, parece —le explicó—.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
529,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Tardaba cerca de una hora en llegar hasta esa encrucijada laberíntica que era
Cinco Esquinas, en el corazón de los Barrios Altos.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
530,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"—Muy cerquita del monumento a Felipe Pinglo, casi llegando a Cinco Esquinas.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
531,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Lo único que sé es que no lo encontraron muerto en
Cinco Esquinas, sino que lo trajeron muerto en un auto y dejaron su cadáver tirado
frente a mi timba.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
532,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Lo que no impedía que, en las noches, al meterse a la cama de su
pequeña casita del jirón Teniente Arancibia, en Cinco Esquinas, tuviera de pronto
uno de esos ataques de terror que le hacían sentir hielo en la columna vertebral.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
533,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"Un segundo después, se
veía ocupando el sillón del difunto director del semanario, llamando a los redactores
a preparar el número de la semana y pensando cuándo se cambiaría de casa, a qué
barrio se mudaría, lo bueno que sería saber que nunca más —nunca más— volvería a
poner los pies en los callejones destartalados de Cinco Esquinas.",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
534,MVLL Cinco esquinas - FINAL,Cinco Esquinas,"¿Es verdad que
dejaste tu callejón de Cinco Esquinas y te mudaste a Miraflores?",Valid,Cinco Esquinas,"{-12.052289260976641, -77.01509058775387}"
537,MVLL Cinco esquinas - FINAL,Club de la Banca,Despertó sobresaltado: a la una y cuarto tenía cita para almorzar en el Club de la Banca.,Valid,Club de la Banca,"{-12.096146426448122, -77.03810158019458}"
567,MVLL Cinco esquinas - FINAL,Cusco,"Él y Atanasia pudieron darse muchos gustos, entre ellos unas
vacaciones en el Cusco, incluido un viaje a Machu Picchu, y él se había hecho más
conocido que en todos sus años de recitador.",Valid,Cusco,"{-13.52, -71.99}"
1152,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Una ruina de la farándula Juan Peineta salió del Hotel Mogollón, en la tercera calle del jirón Huallaga, seguido por Serafín.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1153,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Todavía le quedaba algún papel entre el alto de documentos que guardaba en una caja de cartón en su cuartito del Hotel Mogollón, la partida de nacimiento por ejemplo, con su viejo nombre, pero él no quería leerlo sino recordarlo.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1154,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Un día entró a su cuarto del Hotel Mogollón —bueno, eso de cuarto era mucho exagerar, más bien hueco o cuchitril— y vio un gato aposentado sobre su cama.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1155,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Todo el regreso al Hotel Mogollón —unos tres cuartos de hora con su andar prudente y lentísimo— estuvo pensando en el episodio de Los tres chistosos, hecho fronterizo en su carrera artística.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1156,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Habían llegado al Hotel Mogollón a tiempo para sentarse en la pequeña salita de la entrada, junto a Sóceles, el guardián del hotel, y escuchar en Radio Popular las maldades y venenos de Rolando Garro en su programita Al rojo vivo: verdades y mentiras de la farándula.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1157,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Los Tres Chistosos Cuando abrió los ojos lo primero que vio fue la silueta de Serafín dibujada en la oquedad de la única ventanita de su cuarto del Hotel Mogollón, que dejaba siempre junta por si el gato quería irse o volver.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1158,MVLL Cinco esquinas - FINAL,Hotel Mogollón,Por eso Juan salía con bastante tiempo del Hotel Mogollón.,Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1159,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Salía junto a él del Hotel Mogollón, pero, cuando advertía que Juan tomaba el rumbo de los Barrios Altos, se desvanecía silenciosamente.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1160,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Juan Peineta se despidió de ella y pensó que en su regreso al Hotel Mogollón buscaría un quiosco donde estuvieran exhibiendo Destapes, le provocaba ver calato a ese millonario haciendo el famoso 69, que él y Atanasia, de puro santurrones, nunca practicaron.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1161,MVLL Cinco esquinas - FINAL,Hotel Mogollón,Y empezó inmediatamente a urdir de memoria la carta que escribiría apenas llegara al Hotel Mogollón.,Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
1162,MVLL Cinco esquinas - FINAL,Hotel Mogollón,"Cuando estaba sólo a tres cuadras del Hotel Mogollón, comprobó que silenciosamente Serafín había reaparecido y caminaba pegadito a sus pies.",Valid,Hotel Mogollón,"{-12.048314015316087, -77.03582100312833}"
